Year,Average
2010,60564.51368
2011,23261.99273
2012,31558.56775
2013,15404.46285
2014,7015.233744
2015,7064.375408
2016,4996.780321
2017,3118.323408
2018,1126.166245
2019,3321.514823
2020,2076.628189
