"Year","avgb","source"
"2010",70185.9365337785,"original"
"2010",51130.0200185868,"original"
"2010",60378.5880872452,"original"
"2010",51198.3820381063,"original"
"2010",53152.0941562902,"original"
"2010",63771.4066966875,"original"
"2010",74876.0875308894,"original"
"2010",71224.1965463103,"original"
"2010",75855.2517792247,"original"
"2010",53710.7055094718,"original"
"2010",66805.3356984743,"original"
"2010",66394.288599154,"original"
"2010",59257.8354857293,"original"
"2010",63027.5846161391,"original"
"2010",68424.6149231697,"original"
"2010",58946.8842358084,"original"
"2010",49823.9993437926,"original"
"2010",51504.2680905172,"original"
"2010",69142.88024656,"original"
"2010",69842.7276711577,"original"
"2010",54050.1976295301,"original"
"2010",52215.3778684686,"original"
"2010",42012.0603488171,"original"
"2010",88786.5173594839,"original"
"2010",48123.4864239842,"original"
"2010",69099.8470570797,"original"
"2010",59970.9856395577,"original"
"2010",50258.2393511142,"original"
"2010",56379.857110202,"original"
"2010",66646.1848047582,"original"
"2010",55172.4408693733,"original"
"2010",70838.4748747678,"original"
"2010",62175.8668534617,"original"
"2010",57798.5265389236,"original"
"2010",67684.5827235999,"original"
"2010",72035.2291141307,"original"
"2010",70481.1282624698,"original"
"2010",67048.8566288175,"original"
"2010",55691.0621233814,"original"
"2010",71385.8448192761,"original"
"2010",51577.7077477205,"original"
"2010",54992.7919988612,"original"
"2010",46635.8788255755,"original"
"2010",68237.2678529078,"original"
"2010",75659.1312351625,"original"
"2010",55118.5271667116,"original"
"2010",62735.1553723267,"original"
"2010",54423.7257579228,"original"
"2010",60809.9172978636,"original"
"2010",52977.8470525694,"original"
"2010",64655.0409830101,"original"
"2010",67035.4183946189,"original"
"2010",78793.0894823055,"original"
"2010",76442.1058777079,"original"
"2010",44116.117903264,"original"
"2010",68536.5172944997,"original"
"2010",68446.2298306818,"original"
"2010",42288.4239004575,"original"
"2010",72623.36343882,"original"
"2010",76386.6449670136,"original"
"2010",54895.2503247721,"original"
"2010",62110.9122647304,"original"
"2010",58287.1622786096,"original"
"2010",55934.728898976,"original"
"2010",52529.443324215,"original"
"2010",48617.4318101783,"original"
"2010",69856.4265458644,"original"
"2010",70195.8245685972,"original"
"2010",50704.8429600457,"original"
"2010",64597.5742509925,"original"
"2010",47339.8734473984,"original"
"2010",59428.7802121867,"original"
"2010",70985.609707201,"original"
"2010",57950.9883531286,"original"
"2010",58303.9337744339,"original"
"2010",50234.928597421,"original"
"2010",54564.7880292841,"original"
"2010",65241.5307993598,"original"
"2010",55818.9281988844,"original"
"2010",56518.8060446323,"original"
"2010",68370.8071158164,"original"
"2010",59125.3643020119,"original"
"2010",65414.8953728284,"original"
"2010",58060.672889893,"original"
"2010",75313.0180987813,"original"
"2010",88257.7623441612,"original"
"2010",46959.6368002328,"original"
"2010",69440.2254504832,"original"
"2010",65957.3463747177,"original"
"2010",58652.2636926235,"original"
"2010",61251.024052603,"original"
"2010",50308.3273976268,"original"
"2010",59087.4135596787,"original"
"2010",51814.0568062469,"original"
"2010",68295.4769326804,"original"
"2010",55733.6206122765,"original"
"2010",66983.6918707407,"original"
"2010",67390.5995579838,"original"
"2010",74548.1286797816,"original"
"2010",61854.2469901488,"original"
"2010",64251.0024145615,"original"
"2010",64347.5682515407,"original"
"2010",60009.136434228,"original"
"2010",50735.0637815614,"original"
"2010",71005.0421852737,"original"
"2010",56623.3251012914,"original"
"2010",52880.8704626952,"original"
"2010",64735.1053163852,"original"
"2010",67546.4384937324,"original"
"2010",58224.8406072287,"original"
"2010",73902.9977168028,"original"
"2010",57431.7057637935,"original"
"2010",48404.1578495843,"original"
"2010",79830.1483645279,"original"
"2010",65534.7032635978,"original"
"2010",70896.2164900233,"original"
"2010",63605.1202323591,"original"
"2010",66172.4086325841,"original"
"2010",51886.2893325844,"original"
"2010",63468.8548918694,"original"
"2010",75137.3332250991,"original"
"2010",58805.0542858853,"original"
"2010",63000.1985482267,"original"
"2010",61260.2676759627,"original"
"2010",71224.3276658541,"original"
"2010",49744.7194922451,"original"
"2010",72575.2161603539,"original"
"2010",64495.2900003513,"original"
"2010",92692.6055487874,"original"
"2010",49006.6495824959,"original"
"2010",87337.8423225067,"original"
"2010",59250.667844137,"original"
"2010",69273.0291699855,"original"
"2010",49753.3427758575,"original"
